Информация о участниках мероприятия,,,,,Количество баллов по раундам,,,,,,,,,
№ п/п,Имя пользователя,ID пользователя,"Итого
баллов","Итого
раундов",Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10
1,baike,699596599164272680,27.23,4.00,29.13,30.00,,23.00,26.78,,,,,
2,Леон,692692176244834335,30.29,4.00,33.40,,,27.86,29.96,29.96,,,,
3,goozebumps,1330922796200497223,23.55,3.00,25.37,,,,22.11,23.17,,,,
4,carouselparis,906207068418080840,28.80,1.00,28.80,,,,,,,,,
5,Nikonor,697406782460657745,27.72,2.00,26.57,,28.88,,,,,,,
6,XN,689398266810728459,32.52,5.00,33.47,31.62,34.57,33.10,29.83,,,,,
7,DJ Koost,390863065182371863,22.63,1.00,22.63,,,,,,,,,
8,WHOSAID,1041675867677528156,20.20,2.00,23.40,,,,17.00,,,,,
9,Slleem,624013571759800320,31.39,3.00,31.30,,29.83,,,33.04,,,,
10,mimika,593500137607659531,26.13,3.00,34.27,,27.00,,17.11,,,,,
11,CARIER,367623095436967948,23.39,3.00,,27.62,22.44,20.10,,,,,,
12,Егор SMOKY,1332365691206107218,36.95,1.00,,36.95,,,,,,,,
13,ouqei,406799690403676161,24.87,2.00,,23.50,26.24,,,,,,,
14,icrylux,1209288706008162355,21.80,2.00,,25.19,,,18.42,,,,,
15,суета (егор),520985981206265866,32.43,2.00,,30.43,,34.43,,,,,,
16,Boston MG,427863056169697281,23.19,4.00,23.19,24.86,25.42,,19.29,,,,,
17,TTRI,302843436434980877,27.75,5.00,,25.67,29.08,30.81,27.00,26.19,,,,
18,Wistful Waves,298580088323309578,33.63,2.00,,31.38,35.88,,,,,,,
19,Ave Maria,352512240651468811,28.00,2.00,,,28.38,,,27.63,,,,
20,shaggypuff,1009137177927626793,29.95,2.00,,,,28.57,,31.33,,,,
21,tamshu,1033855275142221916,20.05,1.00,,,,20.05,,,,,,
22,Tonyxblaq,777483643051835392,25.45,2.00,,,,23.05,,27.86,,,,
23,ONLYTHENEXT,729775540424278149,36.81,1.00,,,,36.81,,,,,,
24,Shakar,1174694254455554089,31.54,2.00,,,,,36.24,26.83,,,,
25,kidi acid,349583675144273930,31.13,1.00,,,,,,31.13,,,,
26,38,1174039839239307295,30.38,1.00,,,,,,30.38,,,,
