Рейтинг участников PROD EVENTS по взвешенному баллу,,,,,,Мероприятия,
№ п/п,Имя пользователя,ID пользователя,"Итого
баллов","Взвешенный
балл","Итого
работ",1346482874857291838-Round 1,1346482874857291838-Round 2
1,Skryp,1315323388436283434,,,0,,
1,XN,689398266810728459,32.6,15.5,2,33.5,31.6
2,Муса Дореус,422829998433632257,,,0,,
3,ONLYTHENEXT,729775540424278149,,,0,,
4,Леон,692692176244834335,33.4,10.1,1,33.4,
5,Tony Helfiger,777483643051835392,,,0,,
6,Slleem,624013571759800320,31.3,9.4,1,31.3,
7,PLAYDADDY,279986249094397982,,,0,,
8,friedeyez?,305386727403683851,,,0,,
9,Wistful Waves,298580088323309578,31.4,9.5,1,,31.4
10,QD,804359550982684692,,,0,,
11,LUDOMAN 2006,699596599164272680,29.6,14.1,2,29.1,30.0
12,KillaHillz,198898807348527115,,,0,,
13,Nikonor,697406782460657745,26.6,8.0,1,26.6,
14,TTRI,302843436434980877,25.7,7.7,1,,25.7
15,Егор SMOKY,1332365691206107218,37.0,11.1,1,,37.0
16,S,424138892023824395,,,0,,
17,✵2006 YBL 2006✵,337686868894416898,,,0,,
18,carouselparis,906207068418080840,28.8,8.7,1,28.8,
19,Je Sai,352512240651468811,,,0,,
20,ouqei,406799690403676161,23.5,7.1,1,,23.5
21,суета (егор),520985981206265866,30.4,9.2,1,,30.4
22,sabzh,920261404655755264,,,0,,
23,haso,1063452510695739432,,,0,,
24,Культ,274919099081949185,,,0,,
25,RAMSY,694889965418446920,,,0,,
26,overkidd 2007,375551137408876545,,,0,,
27,bvlgvkov,247842829441826816,,,0,,
28,Os,215810494647238668,,,0,,
29,WHOSAID,1041675867677528156,23.4,7.0,1,23.4,
30,whosmdmv,600037890696806410,,,0,,
31,goozebumps,1330922796200497223,25.4,7.6,1,25.4,
32,6ASTARD,401398393769033728,,,0,,
33,BOSTON MG,427863056169697281,24.9,7.5,1,,24.9
34,mimika,593500137607659531,34.3,10.3,1,34.3,
35,LOPASTI,1345311271766982726,,,0,,
36,Shakar,1174694254455554089,,,0,,
37,ashura kai,313739690853400577,,,0,,
38,icrylux,1209288706008162355,25.2,7.6,1,,25.2
39,shaggypuff,1009137177927626793,,,0,,
40,CARIER,367623095436967948,27.6,8.3,1,,27.6
41,tamshu,1033855275142221916,,,0,,
42,keyshee,420268194683551748,,,0,,
43,INMYWHITEE,827182814105305118,,,0,,
44,DJ Koost,390863065182371863,22.6,6.8,1,22.6,
45,breakcoring,1237053931625119856,,,0,,
46,pvnika,650444034447507479,,,0,,
47,dasfsdfsdf123,1369317748500332656,,,0,,
48,tricygrace,1120631348764356668,,,0,,
49,LIZGIN,463840759997530122,,,0,,
50,.Чёрная Метка.,311197176992890881,0.1,0.0,1,0.1,
51,kidi acid,349583675144273930,,,0,,
52,38,1174039839239307295,,,0,,
53,Callmearco,1102941156368719984,,,0,,
54,chasershawty,1003740520977277019,,,0,,
55,bullywo,458265730534604800,,,0,,
56,very secret user,1335654525742088222,0.1,0.0,1,0.1,
